IATA,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,ALT_ID
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692,13487
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,29.99339,-90.25803,13495
MTJ,Montrose Regional Airport,Montrose,CO,38.50887,-107.89383,13502
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,41.39303,-70.61433,13541
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,33.67975,-78.92833,13577
OAJ,Albert J. Ellis Airport,Jacksonville,NC,34.82916,-77.61214,13795
OAK,Oakland International Airport,Oakland,CA,37.72129,-122.22072,13796
OGG,Kahului Airport,Kahului,HI,20.89865,-156.43046,13830
OKC,Will Rogers World Airport,Oklahoma City,OK,35.39309,-97.60073,13851
OMA,Eppley Airfield,Omaha,NE,41.30252,-95.89417,13871
OME,Nome Airport,Nome,AK,64.5122,-165.44525,13873
ONT,Ontario International Airport,Ontario,CA,34.056,-117.60119,13891
ORD,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,13930
ORF,Norfolk International Airport,Norfolk,VA,36.89461,-76.20122,13931
ORH,Worcester Regional Airport,Worcester,MA,42.26734,-71.87571,13933
OTH,Southwest Oregon Regional AirportÂ (North Bend Municipal),North Bend,OR,43.41714,-124.24603,13964
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,66.88468,-162.59855,13970
PAH,Barkley Regional Airport,Paducah,KY,37.06083,-88.77375,14006
PBG,Plattsburgh International Airport,Plattsburgh,NY,44.65083,-73.468056,14025
PBI,Palm Beach International Airport,West Palm Beach,FL,26.68316,-80.09559,14027
PDX,Portland International Airport,Portland,OR,45.58872,-122.5975,14057
PHF,Newport News/Williamsburg International Airport,Newport News,VA,37.1319,-76.49299,14098
PHL,Philadelphia International Airport,Philadelphia,PA,39.87195,-75.24114,14100
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,14107
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,40.66424,-89.69331,14108
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,31.46715,-89.33706,14109
PIH,Pocatello Regional Airport,Pocatello,ID,42.91131,-112.59586,14113
PIT,Pittsburgh International Airport,Pittsburgh,PA,40.49147,-80.23287,14122
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,45.57093,-84.79672,14150
